contacto,periodo,categoria,tipo_prestacion,fecha_ingreso,hora_ingreso,domicilio_cgpc,domicilio_barrio,domicilio_calle,domicilio_altura,canal,genero,estado_del_contacto,fecha_cierre_contacto
124,201905,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,11/05/2019,06:02:40 p.m.,COMUNA 3,BALVANERA,CHILE,2939,147,femenino,Cerrado,20/05/2019
125,201905,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,12/05/2019,02:18:04 p.m.,COMUNA 15,VILLA CRESPO,GURRUCHAGA,1180,Web,otro,Cerrado,15/05/2019
126,201905,ARBOLADO Y ESPACIOS VERDES - PODA DE ARBOL Y DESPEJE DE LUMINARIA,SOLICITUD,13/05/2019,04:32:31 p.m.,COMUNA 13,NUÑEZ,11 DE SEPTIEMBRE DE 1888,2993,Web,femenino,Cerrado,18/07/2019
127,201905,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,14/05/2019,10:44:44 a.m.,COMUNA 12,VILLA PUEYRREDON,ARGERICH,4457,147,femenino,Cerrado,19/05/2019
128,201905,TRANSITO - DENUNCIA VIAL,DENUNCIA,15/05/2019,11:51:24 a.m.,COMUNA 2,RECOLETA,JUNCAL,,App,masculino,Cerrado,16/05/2019
129,201905,TRANSITO - VEHICULOS ABANDONADOS,SOLICITUD,16/05/2019,08:49:49 a.m.,COMUNA 4,NUEVA POMPEYA,IGUAZU,1835,Web,femenino,Cerrado,21/05/2019
130,201905,TRANSITO - CRUCE PELIGROSO O CALLE CON INCONVENIENTES VIALES,SOLICITUD,16/05/2019,02:51:50 p.m.,COMUNA 14,PALERMO,CERVIÑO AV.,3356,Web,femenino,Abierto,
131,201905,TRANSITO - DENUNCIA VIAL,DENUNCIA,16/05/2019,07:52:02 p.m.,COMUNA 4,PARQUE PATRICIOS,SANCHEZ DE LORIA AV.,2180,Web,masculino,Cerrado,20/05/2019
132,201905,TRANSITO - DENUNCIA VIAL,DENUNCIA,17/05/2019,11:14:18 a.m.,COMUNA 9,MATADEROS,CHASCOMUS,5946,App,masculino,Cerrado,20/05/2019
133,201905,TRANSITO - DENUNCIA VIAL,DENUNCIA,18/05/2019,06:06:56 p.m.,COMUNA 13,BELGRANO,ECHEVERRIA,1400,App,masculino,Cerrado,21/05/2019
134,201905,ALUMBRADO - REPARACION DE LUMINARIA,SOLICITUD,20/05/2019,12:15:46 a.m.,COMUNA 14,PALERMO,ORTIZ DE OCAMPO AV.,2840,Web,femenino,Cerrado,21/05/2019
135,201905,TRANSITO - DENUNCIA VIAL,DENUNCIA,21/05/2019,04:33:59 p.m.,COMUNA 13,NUÑEZ,QUESADA,,App,masculino,Cerrado,25/05/2019
136,201905,LIMPIEZA Y RECOLECCION - LIMPIEZA DE VIA PUBLICA,SOLICITUD,22/05/2019,10:53:34 a.m.,COMUNA 11,VILLA DEVOTO,CONCORDIA,3529,147,femenino,Cerrado,25/05/2019
137,201905,CALLES Y VEREDAS - REPARACION DE VEREDA,SOLICITUD,23/05/2019,01:33:18 p.m.,COMUNA 13,NUÑEZ,11 DE SEPTIEMBRE DE 1888,3130,Web,masculino,Abierto,
138,201905,TRANSITO - DENUNCIA VIAL,DENUNCIA,24/05/2019,12:55:01 p.m.,COMUNA 10,FLORESTA,AVELLANEDA AV.,3292,App,femenino,Cerrado,25/05/2019
139,201905,TRANSITO - CRUCE PELIGROSO O CALLE CON INCONVENIENTES VIALES,SOLICITUD,27/05/2019,01:43:01 p.m.,COMUNA 8,VILLA LUGANO,BALBASTRO,5060,147,femenino,Abierto,
140,201905,ALUMBRADO - REPARACION DE EQUIPAMIENTO DE ALUMBRADO,SOLICITUD,28/05/2019,08:02:03 p.m.,COMUNA 15,VILLA ORTUZAR,ZARRAGA,,147,femenino,Cerrado,05/06/2019
141,201905,TRANSITO - DENUNCIA VIAL,DENUNCIA,28/05/2019,10:16:56 p.m.,COMUNA 15,VILLA ORTUZAR,GIRIBONE,,App,masculino,Cerrado,31/05/2019
142,201905,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,31/05/2019,03:52:10 p.m.,COMUNA 15,PARQUE CHAS,BURELA,1276,Comunas,femenino,Cerrado,03/06/2019
143,201906,TRANSITO - VEHICULOS ABANDONADOS,SOLICITUD,01/06/2019,11:26:56 a.m.,COMUNA 12,VILLA URQUIZA,ECHEVERRIA,4851,App,masculino,Cerrado,08/08/2019
144,201906,TRANSITO - DENUNCIA VIAL,DENUNCIA,01/06/2019,07:23:03 p.m.,COMUNA 12,VILLA URQUIZA,MENDOZA AV.,5320,App,femenino,Cerrado,03/06/2019
145,201906,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,03/06/2019,08:56:09 a.m.,COMUNA 7,PARQUE CHACABUCO,CACHIMAYO,1421,147,femenino,Cerrado,07/06/2019
146,201906,CALLES Y VEREDAS - REPARACION DE BACHES,SOLICITUD,03/06/2019,03:36:28 p.m.,COMUNA 7,FLORES,TANDIL,2890,App,masculino,Cerrado,27/06/2019
147,201906,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,04/06/2019,03:19:35 p.m.,COMUNA 14,PALERMO,SANTA FE AV.,4806,147,masculino,Abierto,
148,201906,TRANSITO - VEHICULOS ABANDONADOS,SOLICITUD,05/06/2019,06:20:20 p.m.,COMUNA 13,BELGRANO,AMENABAR,1995,App,masculino,Cerrado,06/06/2019
149,201906,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,06/06/2019,10:38:22 a.m.,COMUNA 9,MATADEROS,REMEDIOS,4810,147,masculino,Cerrado,10/06/2019
150,201906,LIMPIEZA Y RECOLECCION - CESTOS Y CONTENEDORES,SOLICITUD,06/06/2019,01:50:39 p.m.,COMUNA 9,LINIERS,OLIDEN,732,147,femenino,Cerrado,08/06/2019
151,201906,LIMPIEZA Y RECOLECCION - CESTOS Y CONTENEDORES,SOLICITUD,06/06/2019,05:47:24 p.m.,COMUNA 3,SAN CRISTOBAL,CATAMARCA,939,147,femenino,Cerrado,07/06/2019
152,201906,LIMPIEZA Y RECOLECCION - RESIDUOS VOLUMINOSOS,SERVICIO,07/06/2019,12:09:08 p.m.,COMUNA 13,COLEGIALES,DE LOS INCAS AV.,3350,Web,femenino,Cerrado,13/06/2019
